German,English
einhalten,retain
Sachverhalt,facts
sorgfältig,careful
untereinander,among themselves
unterhalb,below
verdeutlichen,illustrate
Ertrag,Yield
Finanzminister,Finance minister
Vormittag,Late morning
achtzig,eighty
dynamisch,dynamic
Gerechtigkeit,justice
abstellen,turn off
Droge,drug
fett,fat
verbrauchen,consume
ausweisen,identify
biegen,to bend
Notwendigkeit,need
Reihenfolge,sequence
spazieren,stroll
verweigern,deny
Zahlung,payment
argumentieren,argue
Athlet,athlete
beißen,bite
harmonisch,harmonious
Kneipe,Bar
absagen,cancel
Begeisterung,enthusiasm
fix,fix
Frucht,fruit
Kanada,Canada
Philosoph,philosopher
Übersicht,overview
weitergeben,pass it on
Zinssatz,interest rate
Abitur,High School
Asien,Asia
einlassen,let in
Geste,gesture
Vorgabe,specification
Abschreibung,depreciation
abstrakt,abstract
ästhetisch,esthetic
einschalten,turn on
Klang,sound
qualifizieren,to qualify
Säule,pillar
übergeben,to hand over
aufklären,enlighten
buchen,Reserve
Depression,depression
kündigen,cancel
strukturell,structurally
Anzeige,advertisement
Chinese,Chinese
festnehmen,arrest
fortfahren,Continue
realistisch,realistic
tödlich,fatal
unterschreiben,sign
verhaften,to arrest
Bombe,bomb
heutzutage,these days
Hitze,heat
Kammer,chamber
notieren,note
Solidarität,solidarity
besorgt,concerned
Konto,Account
Lärm,Noise
Option,option
Rechner,calculator
Schild,Sign
Show,show
Unruhe,Unrest
bequem,comfortable
Hessen,Hesse
Kindergarten,kindergarten
Rätsel,puzzle
Song,song
soviel,so much
Teufel,Devil
Zielgruppe,target group
Anzug,men's suit
erkranken,fall ill
Herrschaft,Dominance
infolge,as a result
nützlich,useful
oberhalb,above
Schein,Glow
übersehen,overlook
Bedrohung,threat
Bereitschaft,standby
Blutdruck,Blood pressure
Front,front
physisch,physically
Verbot,Prohibition
Verschiebung,shift
zugrunde,on the basis of
abweichen,differ
Empfehlung,recommendation
gespannt,curious; excited
sicherstellen,to ensure
stundenlang,for hours
verfassen,write
Vermittlung,Mediation
Wohlstand,prosperity
Felsen,rock
inklusive,included
kognitiv,cognitive
seinerseits,in turn
zustehen,be entitled to
auffällig,noticeable
ausbrechen,breaking out
CD,CD
Durchführung,execution
Humor,humor
psychologisch,psychologically
treu,loyal to
Erziehung,education
kommentieren,Leave a Comment
wonach,what
Datenbank,Database
Meldung,Report
Premier,premier
Zeichnung,drawing
agieren,act
Befehl,command
Christ,Christian
hi,Hi
schleppen,drag
Treffer,Hit
Helfer,helper
Vizepräsident,Vice -president
Haustür,front door
Landesregierung,State government
aggressiv,aggressive
definitiv,definitive
locken,Curls
löschen,Clear
Mahlzeit,meal time
samt,velvet
vollziehen,carry out
Wiederholung,repetition
aufbringen,raise
einigermaßen,somewhat
Mitteilung,Message
Praktikum,Internship
verzeichnen,record
Vorsicht,caution
Auskunft,information
Bezirk,district
Bogen,arc
Entdeckung,discovery
Ferien,holidays
General,general
Messe,Industrial fair
scheiden,divide
schlucken,to swallow
südlich,southern
zurücklegen,return
anordnen,arrange
beibringen,teach
bevorstehen,be facing
Chemiker,Chemist
Erscheinung,Appearance
herunter,down
hinterher,after
kostenlos,for free
Maus,Mouse
Unabhängigkeit,independence
Vene,vein
Bestand,Duration
einzigartig,unique
Kohle,Money
reell,real
reiten,horse riding
Smartphone,Smartphone
Werkstatt,workshop
Kälte,cold
Kloster,monastery
Laune,Mood
nachfragen,to ask
Toilette,Toilet
Unglück,bad luck
verlegen,embarrassed
Eröffnung,opening
Fragestellung,Question
Grieche,Greek
industriell,industrial
konfrontieren,confront
Sex,sex
wovon,About what
absurd,absurd
Miete,Rent
angehören,belong to
Apfel,Apple
autonom,autonomous
blond,blond
anstrengend,stressful
Bär,bear
hinzu,in addition
lateinisch,Latin
Menschenrecht,Human right
mühsam,tedious
präzise,precise
Wahnsinn,insanity
Anruf,Phone call
feststehen,be clear
Sieger,winner
Unterkunft,accomodation
Verknüpfung,shortcut
anfühlen,feel
düster,grim
freisetzen,release
Kompromiss,Compromise
Maßstab,scale
skizzieren,sketch
starr,rigid
Vorhang,Curtain
Währung,currency
Wüste,Desert
berufen,appoint
eingreifen,intervention
Tasse,Cup
unterstellen,subordinate
vorbeigehen,pass
Flamme,flame
Frühling,spring
langjährig,long -term
Maximum,maximum
Militär,military
oftmals,often
Papst,Pope
Profi,professional
Aufregung,excitement
aufsagen,say
bergen,mount
erwachen,awakening
Nebel,fog
Terroranschlag,Terrorist attack
andeuten,indicate
deutschsprachig,German -speaking
Embryo,embryo
Muskulatur,Muscles
Rückstand,Residue
entfalten,unfold
Ermittler,Investigator
hässlich,ugly
Hypothese,hypothesis
unverändert,unchanged
woran,what
hereinkommen,get in
heulen,howl
zurücktreten,step back
demnächst,soon
einschlagen,strike
Rock,skirt
Übernahme,takeover
akademisch,academic
aufwendig,elaborate
einschätzen,assess
Kapazität,capacity
Regierungschef,Head of government
regnen,rain
Rohstoff,raw material
beten,pray
Fokus,focus
hocken,crouch
Informationssystem,Information system
liberal,liberal
musikalisch,musically
Pfarrer,Pastor
Provinz,province
Trauer,Grief
Aufsichtsrat,Supervisory board
Gerücht,rumor
kriechen,crawl
Sofa,sofa
Urlauber,Vacationer
abwenden,avert
Aufführung,performance
Huhn,Chicken
Relation,relation
ruhen,rest
Steigerung,increase
Vorfall,incident
Vorfeld,Preliminary
Ankunft,arrival
Auflösung,resolution
ausweichen,evade
Paket,package
putzen,clean
variabel,variable
zuführen,respectively
Akademie,academy
Ausgangspunkt,starting point
Berater,Advisor
erregen,irritate
letztendlich,at long last
proportional,proportional
erschöpfen,exhaust
Frist,Deadline
gegenüberstehen,face
operativ,surgical
Proband,Test
Qualifikation,qualification
Schlange,Line
schräg,aslant
verehrt,worship
wieviel,how much
Belgien,Belgium
Einleitung,introduction
gefangen,captured
Hobby,hobby
Möbel,furniture
nerven,annoy
restlich,remaining
Sanktion,Sanction
täuschen,To deceive
Zone, Zone
antun,do
Architektur,architecture
Biologie,biology
einmalig,unique
irgend,at some point
Kreislauf,Circuit
Lösungsmittel,solvent
PC,PC
Protokoll,protocol
unsichtbar,invisible
verdrängen,push away
vernichten,destroy
vorläufig,provisionally
weichen,switch
akut,acute
Album,album
chronisch,chronic
Justiz,Judiciary
zusammenkommen,getting together
Abenteuer,adventure
erforschen,explore
Flügel,wing
Teppich,carpet
touristisch,touristy
werten,evaluate
geographisch,geographically
Hang,hillside
Ägypten,Egypt
Applaus,applause
Ausprägung,Expression
Block,block
rauschen,rush
tauschen,To deceive
zusammenleben,living together
Budget,budget
Gemüse,vegetables
gültig,valid
jegliche,any
mitbekommen,get
Skandal,scandal
weggehen,walk away
Abgabe,Submission
blühen,bloom
israelisch,Israeli
Nachweis,proof
Steuerung,steering
zurückgeben,hand back
Aufenthalt,visit
auflegen,hang up
kippen,tip
vergeblich,vain
wischen,to wipe
Beurteilung,evaluation
erbringen,provide
folglich,consequently
Hörer,Listener
Prinz,prince
Radius,radius
Schaf,sheep
schuldig,guilty
Tagebuch,diary
zielen,aim
elementar,elementary
nebenbei,alongside
Ökonom,economist
Versprechen,Promise
Werkzeug,Tool
Adjektiv,adjective
bremsen,brake
einbauen,incorporate
final,final
Getränk,drink
hierzulande,in this country
physiologisch,physiological
Unternehmung,Enterprise
vorlesen,read aloud
berechtigen,entitle
Bruch,fracture
endlos,endless
Erweiterung,extension
Lüge,lie
Reichtum,wealth
Schema,Scheme
spiegeln,reflect
städtisch,urban
wandeln,convert
harmlos,harmless
reichlich,abundant
ringen,struggle
spektakulär,spectacular
stabilisieren,stabilize
Strich,Strain
Wirt,host
Addition,addition
besagen,say
Geduld,patience
Innenstadt,Downtown
Konstruktion,construction
Lehrbuch,Textbook
siegen,win
Stichprobe,sample
trocknen,dry
Vorsprung,head Start
vorwiegend,predominantly
bekennen,confess
dauernd,constant
eigenständig,independent
elegant,elegant
Haftung,Liability
mutmaßlich,presumed
vergleichsweise,comparatively
vermehrt,increasingly
bedauern,regret
begeben,go
durchgehen,go through
vorschreiben,prescribe
zutrauen,confidence
abseits,offside
asymmetrisch,asymmetrical
bescheiden,modest
entfallen,be eliminated
FIFA,Fifa
Hemmung,inhibition
Schlafzimmer,bedroom
Tragödie,tragedy
Wunde,wound
achtzehn,eighteen
Chaos,chaos
Krone,Crown
reiben,rub
Reporter,reporter
Schluck,Sip
Schock,shock
aufschreiben,write down
reizen,stimulate
Attribut,attribute
aufreißen,rip
Diagnose,diagnosis
hinzukommen,add
prinzipiell,in principle
reflektieren,reflect
Unterlage,document
vernachlässigen,to neglect
versinken,sink
erhitzen,heat
Ersatz,substitute
EU-Kommission,EU Commission
hessisch,Hessian
passiv,passive
Rauch,smoke
stinken,stink
tschüss,bye Bye
Vorgänger,predecessor
anstarren,stare at
detailliert,detailed
Fremdsprache,foreign language
Gepäck,Baggage
unglücklich,unhappy
wehen,blow
ausprobieren,try out
bewerben,apply
erhoffen,hope for
Feder,Feather
Feuerwehr,fire department
fixieren,fix
Gemälde,painting
Heim,home
heranziehen,pull in
Image,image
Koch,cook
Stadtteil,district
Träger,carrier
verschärfen,intensify
Zunahme,increase
annähern,approach
Baron,baron
Eigentum,Property
gründlich,thorough
Sachsen-Anhalt,Saxony-Anhalt
umsehen,look around
via,via
abziehen,pull it off
Befund,Finding
Niederlande,Netherlands
schwanken,vary
Stoß,Shock
Unsinn,nonsense
Wahlperiode,Election period
blockieren,To block
Defizit,deficit
Dynamik,dynamics
nirgendwo,nowhere
umarmen,embrace
Vernunft,reason
Anregung,Stimulation
Code,code
jetzig,current
kommunizieren,communicate
Krebs,Cancer
Kühlschrank,refrigerator
lächerlich,ridiculous
Airline,Airline
Akt,act
außerordentlich,extraordinary
Empfang,Reception
minimal,minimal
Nacken,neck
Republikaner,republican
Rhythmus,rhythm
unerwartet,unexpectedly
Unterschrift,signature
anfallen,attack
Ausfall,failure
beantragen,apply for
daheim,home
Offizier,officer
Protagonist,protagonist
quälen,torture
Strömung,flow
überfordern,overwhelm
dokumentieren,document
Gliederung,structure
Kartoffel,Potato
schleichen,to sneak
zulegen,add
Aktionär,shareholder
auseinandersetzen,deal with
bestrafen,punish
einlegen,insert
erlernen,learn
Friedhof,cemetery
materiell,material
Produzent,producer
Transparenz,transparency
Asylbewerber,Asylum seekers
Eigentümer,owner
Fabrik,Factory
mutig,brave
Stolz,Proudly
sympathisch,friendly
Tafel,blackboard
Transformation,transformation
Uniform,uniform
weigern,refuse
Akte,file
charakterisieren,characterize
fotografieren,taking photos
Heft,Notebook
hilfreich,helpful
kombinieren,combine
königlich,royal
Magnetfeld,Magnetic field
Mode,Fashion
Schlagzeile,headline
schmutzig,dirty
überziehen,cover
zumeist,mostly
gemütlich,cozy
Spanier,Spaniard
Zeitalter,age
ausstrecken,stretch out
blass,pale
irritieren,irritate
Jurist,jurist
Mission,mission
Mitochondrium,Mitochondrium
Neuron,Neuron
Regulation,regulation
Rücktritt,resignation
Schätzung,estimate
Entropie,entropy
Gelenk,joint
Marktanteil,Market
regulieren,regulate
Rundfunk,broadcast
Teilnahme,participation
Thermodynamik,thermodynamics
Lastkraftwagen,Truck
Quatsch,nonsense
romantisch,romantic
Substrat,Substrate
erlangen,gain
zumachen,close
ausstellen,exhibit
Becken,pool
kreuzen,cross
zart,tender
Zwang,Obligation
Engländer,English people
Münze,coin
Nachrichtenagentur,News agency
seitlich,laterally
Abendessen,dinner
Beobachter,observer
Durchmesser,diameter
Oper,Opera
satt,Fed up
Sozialdemokratische Partei Österreichs,Social Democratic Party of Austria
symbolisch,symbolic
T-Shirt,T-shirt
Zerstörung,destruction
gestehen,confess
Kerze,Candle
Konferenz,conference
ländlich,rural
Stadium,stage
Unrecht,Wrong
Versicherung,insurance
Wurst,sausage
anspruchsvoll,challenging
Bedenken,To ponder
Cent,cent
ermorden,to murder
geometrisch,geometric
Geschwister,siblings
kleiden,dress
ragen,protrude
Staub,Dust
unwahrscheinlich,unlikely
au,au
aufgreifen,pick up
beauftragen,instruct
Brand,fire
eindringen,penetration
Erfüllung,Fulfillment
Examen,exam
Kristall,crystal
partiell,partial
Schale,Peel
scheißen,shit
Schiedsrichter,referee
Tanz,dance
tippen,tap
Universum,universe
vernetzen,network
vierzehn,fourteen
weitermachen,keep going
abhauen,run away
Ablehnung,Rejection
Abwehr,Defense
Arsch,ass
auskennen,know about
Globalisierung,globalization
Kampagne,campaign
klauen,to steal
Rathaus,city ​​hall
schwul,gay
ablenken,turn
bemerkenswert,remarkable
Camp,Camp
Daumen,Thumb
einseitig,one -sided
lauschen,listen
nachvollziehen,comprehend
Nordrhein-Westfalen,North Rhine-Westphalia
Verstand,understanding
zugunsten,in favor of
anmerken,note
bewähren,prove
bundesweit,nationwide
durchziehen,pull through
erholen,recover
Kohlenstoff,carbon
Quote,Quota
Vorlage,template
Vorzeichen,sign
Zugriff,access
aromatisch,aromatic
Grenzwert,limit
Großstadt,Big city
hervorheben,highlight
Lokal,Local
Mitternacht,midnight
thermisch,thermal
vermindern,Reduce
verwandt,related
Beschleunigung,acceleration
Bundespräsident,Federal President
Erfindung,invention
Fliege,Fly
Immunsystem,immune system
platzen,burst
Pressekonferenz,press conference
servieren,serve
Sessel,armchair
Strahl,beam
Anwesenheit,presence
Bube,Bub
Geldpolitik,Monetary policy
gewissermaßen,in a way
Ingenieur,engineer
Manuskript,manuscript
Nacherfüllung,Subsequent performance
sachlich,thorough
Ausschuss,Committee
Mitgliedstaat,Member State
Spaltung,cleavage
Antibiotikum,antibiotic
anweisen,instruct
Ausflug,side trip
außergewöhnlich,out of the ordinary
Baustelle,construction site
Index,index
Kasten,Crate
Kölner,Cologne
Pariser,Parisian
schimpfen,rant
Sicherung,Fuse
Steigung,pitch
wegnehmen,take away
worum,what
Balkon,balcony
bar,bar
Business,Business
Duell,duel
erfreuen,delight
erschließen,open up
Gewehr,gun
Mittelmeer,Mediterranean Sea
Tuch,Cloth
vereinfachen,simplify
Wende,turn
Agentur,Agency
Bündnis,alliance
flüchtig,volatile
Geographie,geography
Lebewesen,Creature
Ozean,ocean
Pakistan,Pakistan
Rheinland-Pfalz,Rhineland-Palatinate
Sektor,sector
umsonst,for free
verdächtig,suspicious
zuverlässig,Reliable
abheben,take off
alltäglich,everyday
anbringen,attach
entgehen,escape
Fortsetzung,continuation
lauter,volume up
Mediziner,Doctor
Tunnel,tunnel
Assistent,assistant
Differenzierung,differentiation
drastisch,drastic
gleichmäßig,uniform
hinnehmen,accept
Mexiko,Mexico
Moderne,Modernity
molekular,molecular
Nachbarschaft,neighborhood
Siedepunkt,boiling point
stationär,stationary
Taliban,Taliban
brutal,brutally
ehrenamtlich,voluntarily
großzügig,generous
Redaktion,editorial staff
Schweiß,Sweat
Spruch,Saying
strikt,strict
Befragung,survey
Einzige,Single
Eizelle,Egg cell
fit,fit
Flüchtlingspolitik,refugee policy
Haufen,heap
Infektion,infection
Keks,biscuit
Sorte,variety
zueinander,to each other
Container,Container
gelassen,calmly
live,live
Mutation,mutation
sozialistisch,socialist
überstehen,survive
Vermutung,Supposition
aufspringen,jump up
Käse,Cheese
losgehen,go
Maul,Mouth
protestieren,protest
schämen,be ashamed
Alpen,Alps
Berufung,vocation
Einteilung,Division
Eintritt,entry
Geliebte,Lover
Gramm,Gram
Hüfte,Hips
neulich,recently
regelrecht,veritable
verankern,anchor
Zähler,counter
befriedigen,to satisfy
beseitigen,remove
Gründer,founder
Orchester,orchestra
regulär,regular
Türke,Turk
ukrainisch,Ukrainian
unterdrücken,suppress
unterteilen,divide
verziehen,forgive
Bestellung,an order
einschließlich,including
Glied,element
Migration,migration
Roboter,robot
Bitte,You're welcome
Blüte,blossom
elektromagnetisch,electromagnetic
inmitten,midst
abschließend,finally
aufschlagen,crack open
Glocke,Bell jar
Informatik,Computer science
Niederschlag,Precipitation
örtlich,locally
streifen,strip
Topf,Pot
Enttäuschung,disappointment
ernähren,feed
prominent,prominent
Sowjetunion,Soviet Union
afrikanisch,African
Beschränkung,restriction
Genehmigung,permit
Lampe,lamp
Moral,moral
philosophisch,philosophical
verständigen,communicate
Willenserklärung,Declaration of will
zweifeln,doubt
andauern,last for
aufrichten,set up
auslaufen,leak
einverstanden,I Agree
fachlich,professional
Märchen,Fairy tale
Regime,regime
Schädel,skull
spezialisieren,specialize
variieren,vary
Löwe,Lion
Operator,operator
Partnerschaft,partnership
Pfund,lb
Unterhaltung,entertainment
zerfallen,disintegrate
zustande,conditions
ablösen,detach
allenfalls,at most
ausbleiben,fail
besorgen,to get
binnen,within
einstig,former
entgegensetzen,oppose
Inszenierung,Staging
Kraftwerk,power plant
Nervensystem,Nervous system
nördlich,north
obig,above
skeptisch,skeptical
überwachen,monitor
Vereinte Nationen,United Nations
woanders,somewhere else
ablesen,read off
anzünden,light
ärztlich,medical
Fürst,Prince
geschickt,cleverly
mittelalterlich,medieval
repräsentieren,represent
Rezept,recipe
Sack,bag
Thüringen,Thuringia
anorganisch,inorganic
ausstehen,stand
Bundesamt,Federal Office
einschließen,lock in
Faden,thread
hunderttausend,hundred thousand
Oberschenkel,Thigh
Schlacht,battle
sinnlos,meaningless
streben,strive
Algorithmus,algorithm
beleuchten,illuminate
drucken,to press
erreichbar,accessible
erschweren,make more difficult
Fahne,banner
Panik,panic
populär,popular
Rotation,rotation
unterschätzen,underestimate
Vereinigung,Union
Anleger,Investor
Darm,colon
erobern,conquer
Fassade,facade
Favorit,favourite
Plakat,poster
Terrasse,terrace
aufsuchen,go to
forschen,research
Gesetzentwurf,Draft law
intellektuell,intellectually
legendär,legendary
Lektüre,reading
motorisch,motor
nunmehr,now
Richtlinie,Guideline
Trick,trick
Tropfen,drops
abschaffen,abolish
anheben,lift
bewundern,admire
Burg,Castle
Engel,Angel
Fazit,Conclusion
hervorrufen,cause
Irland,Ireland
Mechanik,mechanics
Psychologe,psychologist
abspielen,play
Erhebung,Survey
herausragen,protrude
inszenieren,stage
klatschen,clap
Magazin,magazine
Zuhörer,listeners
beschweren,complain
entgegenkommen,accommodate
Hast,Have
hinauf,up
hindern,prevent
loswerden,Get rid of
mild,mild
Minderheit,minority
Prävention,Prevention
schrumpfen,shrink
vernehmen,hear
erstrecken,extend
Genosse,comrade
öh,ÖH
Thüringer,Thuringian
vortragen,perform
Hirn,brain
Pfeil,Arrow
Schuldner,debtor
Überprüfung,Verification
Verzweiflung,Despair
vorig,previous
Anweisung,Instruction
Bargeld,Cash
belgisch,Belgian
erkundigen,inquire
Format,format
Gasse,alley
Gesichtspunkt,Point of view
glänzend,glittering
Original,original
Österreichische Volkspartei,Austrian People's Party
Priorität,priority
Stich,Sting
Variation,variation
Wettkampf,competition
Fremde,Stranger
haften,be liable
horizontal,horizontal
irren,be wrong
kriminell,criminal
verfallen,expire
vorzeitig,prematurely
ansiedeln,settle
Bewerber,Applicant
Breite,Broad
einsehen,see
Epoche,epoch
Explosion,explosion
Idiot,idiot
Kulisse,Backdrop
Lieferung,delivery
nachvollziehbar,comprehensible
spürbar,noticeable
Stall,barn
Arbeitskraft,Worker
Bibel,Bible
Gemeinsamkeit,common ground
Gemisch,mixture
schlank,slim
Dreck,dirt
eilen,rush
fügen,put
heuer,this year
Hölle,hell
quadratisch,square
Reflexion,reflection
solide,solid
unauffällig,unobtrusive
Zwerg,Dwarf
Anmerkung,annotation
Anreiz,Attraction
Ausrichtung,Alignment
auswerten,evaluate
ersparen,save
homogen,homogeneous
nachkommen,progeny
Diabetes,diabetes
Fotografie,photography
Galerie,gallery
Haft,Imprisonment
Malerei,painting
Marktwirtschaft,Market economy
Maske,mask
mmh,mmh
Präsentation,presentation
unerträglich,unbearable
zerreißen,tear
zwangsläufig,inevitably
betrinken,get drunk
Furcht,fear
Klavier,Piano
kommunal,local
Landkreis,district
Meisterschaft,championship
Neubau,New building
schädigen,damage
Schau,show
unterstreichen,underline
vorziehen,prefer
Bande,band
behindert,with special needs
Bemühung,effort
Besetzung,occupation
Bündel,bunch
dämpfen,dampen
Freiheitliche Partei Österreichs,Freedom of Austria
Gift,Poison
Knopf,Button
Lebensjahr,age
News,News
Profil,profile
Siedlung,settlement
signifikant,significant
Stellungnahme,opinion
Sturz,Fall
unbewusst,unconsciously
Verstoß,violation
voraussichtlich,probably
würdigen,appreciate
zurückweisen,deny
Abfall,Waste
Demokrat,democrat
Katalysator,catalyst
Piste,piste
Senat,senate
Staatssicherheitsdienst,State Security Service
streicheln,stroke
überlegen,think
ausfüllen,to complete
Betreuung,maintenance
eintreffen,arrive
Kuchen,cake
Nachwuchs,offspring
plädieren,to plead
trösten,to comfort
Ungleichheit,inequality
Verteidiger,defender
Center,center
Halt,Just
Handwerk,Craft
humanitär,humanitarian
Intervall,interval
naiv,naive
Rentner,Pensioner
Skala,scale
sogleich,immediately
Substantiv,noun
Testament,testament
Algebra,algebra
befördern,promote
Box,box
gänzlich,completely
Gremium,Committee
hinunter,down
soeben,just
Sportart,sport
Tirol,Tyrol
Zuordnung,Assignment
asiatisch,Asian
Biografie,biography
blutig,bloody
Erwerb,Acquisition
Hindernis,obstacle
inwieweit,to what extent
römisch,Roman
weitaus,far
Wiedervereinigung,reunion
Abfahrt,Departure
Anleihe,bond
auswärtig,external
elastisch,elastic
entkommen,escape
Herausgeber,editor
Kinn,chin
nahelegen,suggest
Naturwissenschaft,natural Science
seitens,on the part of
verbal,verbal
Versuchsperson,Test subject
Wanderung,Hike
Zeigefinger,index finger
zwischendurch,occasionally
Autofahrer,motorist
benehmen,behavior
Einzelfall,Individual case
gängig,common
Jäger,Hunter
kommunikativ,communicative
Kongress,congress
letzterer,latter
nebeneinander,side by side
Passage,passage
strömen,stream
zeitgenössisch,contemporary
zerbrechen,break
Aufsatz,Reimbursement
Brandenburg,Brandenburg
Diagramm,diagram
Erleichterung,Relief
Historiker,historian
innovativ,innovative
kollektiv,collective
nüchtern,sober
ungeheuer,enormous
Vorurteil,Prejudice
Warnung,warning
Zeugnis,testimony
anmachen,to turn on
App,App
derzeitig,current
Einblick,insight
eingeben,input
Evolution,evolution
gigantisch,gigantic
Nervenzelle,Nerve cell
überflüssig,superfluous
einteilen,organize
Feststellung,Statement
losfahren,drive off
Pistole,pistol
schalten,switch
sowjetisch,Soviet
überführen,transfer
verbindlich,binding
anstelle,instead of
beleidigen,offend
Diener,servant
konventionell,conventional
Neutron,neutron
organisatorisch,organizational
reif,ripe
Stab,Rod
überholen,overtake
vorangehen,precede
anderswo,elsewhere
empfindlich,sensitive
Finanzen,Finance
hilflos,helpless
Mist,Damn
münden,münden
Physiologie,physiology
Porträt,portrait
Premiere,premiere
Schadenersatz,Compensation
Schrei,Scream
Schwangerschaft,pregnancy
Staatsanwalt,Prosecutor
Transfer,transfer
verkürzen,shorten
vorbeugen,prevent
witzig,funny
Annäherung,Rapprochement
blasen,blow
Exemplar,copy
Fond,Stock
Logik,logic
Müll,garbage
rational,rational
Vergnügen,pleasure
fließend,fluently
konsumieren,consume
naturwissenschaftlich,scientific
Ökonomie,Economy
Festival,festival
hinlegen,put down
Landwirt,farmer
Laptop,Laptop
läuten,ring
Neugier,curiosity
Notiz,note
Rakete,rocket
Rasen,Lawn
verwirklichen,realize
befestigen,fasten
Datensatz,record
dulden,tolerate
durchlaufen,run through
erschüttern,shake
gleichermaßen,equally
gleichwohl,nevertheless
Kabine,cabin
pädagogisch,educational
Schokolade,chocolate
Sekretär,secretary
signalisieren,signal
übernachten,stay
veranstalten,organize
Verstärkung,Reinforcement
zuweisen,to assign
Bearbeitung,editing
besiegen,defeat
Bürgerkrieg,Civil war
derweil,Meanwhile
Lastwagen,truck
marschieren,march
pfeifen,Pipes
überqueren,cross
Arschloch,asshole
Behauptung,claim
Berührung,contact
Diskurs,discourse
dominant,dominant
Inflationsrate,inflation rate
Kreativität,creativity
operieren,operate
stechen,stab
Tempel,temple
Verb,verb
Verlängerung,renewal
verwechseln,confound
beschädigen,to damage
giftig,poisonous
hervorbringen,bring forth
hinreichend,adequate
knüpfen,tie up
loslassen,let go
nachlassen,ease up
nebenan,next door
TV,TV
bestens,best
Dusche,Shower
Etage,floor
Fachhochschule,University of Applied Sciences
Fotograf,photographer
gehörlos,deaf
Klimawandel,Climate change
Mythos,myth
nirgends,nowhere
Portugal,Portugal
Stoffwechsel,metabolism
verabreden,make a date
Amtszeit,Term of office
Berliner,Donut
familiär,family
Reichweite,Range
Riese,giant
Tageszeitung,daily newspaper
technologisch,technological
vertiefen,deepen
antik,antique
Ausstattung,Furnishing
begünstigen,favor
gesundheitlich,health
konstruktiv,constructive
Verbindlichkeit,Liability
vorantreiben,push forward
zurückgreifen,To fall back on
zurücklassen,leave behind
abgrenzen,delimit
Aufwendung,Expenditure
ausdenken,imagine
fähig,able to
füttern,feed
Gesetzgeber,Legislator
koppeln,couple
Senior,Senior
Studio,Studio
Verbreitung,distribution
addieren,add
austreten,escape
bekanntlich,as is well known
Main,Main
neuerdings,recently
Pension,pension
Rücksicht,consideration
Saudi-Arabien,Saudi Arabia
Triumph,triumph
unterdessen,meanwhile
willen,sake
Atomkern,Atomic nucleus
ausgesprochen,pronounced
ausrufen,calling out
bewaffnen,arm
Enkel,grandson
Legende,Legend
Pflege,Care
präsent,present
Recherche,Research
stimulieren,stimulate
Vertrieb,sales
vornehm,distinctive
bedeutsam,significant
evangelisch,Protestant
Illusion,illusion
kreisen,circle
nachdenklich,thoughtful
Sozialdemokrat,Social democrat
strukturieren,structure
Allianz,alliance
Arbeitslosenquote,Unemployment rate
backen,to bake
Benutzer,user
Ehepaar,married couple
Ensemble,ensemble
Handschrift,Manuscript
Miene,expression
Motorrad,motorcycle
Nordkorea,North Korea
pünktlich,punctual
anfassen,touch
Dialekt,dialect
diplomatisch,diplomatic
Effizienz,Efficiency
färben,to dye
Gutachten,Document
Kämpfer,fighter
Klo,loo
knacken,crack
Knall,Bang
Kuba,Cuba
oberflächlich,superficial
parlamentarisch,parliamentary
semantisch,semantic
überwältigen,overwhelm
ähneln,resemble
Beleg,receipt
Blase,bladder
Energiewirtschaft,Energy industry
Halbfinale,Semi -finals
Oberbürgermeister,Mayor
Rezeption,reception
Tennis,tennis
Entwicklungsland,Developing country
Jagd,hunt
Puppe,Puppet
Spaziergang,stroll
stolpern,stumble
zeitweise,at times
zuschreiben,attribute
Auszeichnung,Award
Bundesstaat,State
ethisch,ethically
Fusion,fusion
glänzen,shine
Instanz,Instance
meiden,avoid
optimistisch,optimistic
Segment,segment
widerspiegeln,reflect
Zyklus,cycle
abgehen,go off
Ähnlichkeit,similarity
beweglich,movable
Fachbereich,subject area
fraglich,questionable
hinsetzen,sit down
Moderator,Moderator
Mütze,cap
nächtlich,nocturnal
Realisierung,realization
Rechtsanwalt,Lawyer
Rekord,record
wiedergeben,reproduce
ausdehnen,extend
Brexit,Brexit
Diktatur,dictatorship
Einbruch,Burglary
Insulin,insulin
Interaktion,interaction
Kante,Edge
Laut,According to
Rendite,Return
selbstbewusst,confident
souverän,sovereign
Vokabular,vocabulary
weiterentwickeln,develop
worüber,about what
Zerfall,Decay
Zweig,branch
abreisen,leave
Drohung,threat
Erregung,excitement
Gruß,greeting
konstruieren,to construct
Korb,Basket
Pole,Pole
Schoß,Lap
Veranstalter,organizer
Verarbeitung,processing
zurückbleiben,stay behind
zusammenbrechen,to collapse
Attacke,attack
ausnutzen,exploit
Demonstrant,Demonstrator
Ehefrau,Wife
höflich,polite
Insekt,insect
Konjunktur,Economy
spannen,tighten
Sponsor,sponsor
sprengen,bust
tagsüber,during the day
zerren,drag
Affe,Ape
Deutscher Fußball-Bund,German Football Association
Festlegung,Determination
Forum,Forum
Geschäftsjahr,Financial year
Mitleid,Sympathy
muslimisch,Muslim
Spezialist,specialist
üblicherweise,usually
verhängen,impose
verstummen,silence
visuell,visually
Wohl,Well
zerlegen,disassemble
